"Thank you for contacting IWD Agency's support team. We will review your comment and contact you shortly.","Thank you for contacting IWD Agency's support team. We will review your comment and contact you shortly."
"Incorrect params","Incorrect params"
"Email was not send!","Email was not send!"
"Support Form","Support Form"
"Comment Type","Comment Type"
"Feature Request","Feature Request"
"Report An Issue","Report An Issue"
Other,Other
Extension,Extension
Request,Request
Issue,Issue
Comment,Comment
Attachment,Attachment
Email,Email
Name,Name
Submit,Submit
"IWD Agency","IWD Agency"
Support,Support
