"Support Articles","Support Articles"
"Upload After Button Click","Upload After Button Click"
"AJAX-Scroll Mode","AJAX-Scroll Mode"
"AJAX-Pagination Mode","AJAX-Pagination Mode"
"IWD Agency","IWD Agency"
"Ajax Infinity Scroll","Ajax Infinity Scroll"
Info,Info
Version,Version
Documentation,Documentation
General,General
Enable,Enable
"Enable On Catalog Page","Enable On Catalog Page"
"Enable On Search Page","Enable On Search Page"
"Enable On Advanced Search Page","Enable On Advanced Search Page"
Mode,Mode
Design,Design
"Add Header For Page","Add Header For Page"
"Load Prev Page Button Label","Load Prev Page Button Label"
"Load Next Page Button Label","Load Next Page Button Label"
"Additional Settings","Additional Settings"
"Content Selector","Content Selector"
"Layered Navigation Selector","Layered Navigation Selector"
"Toolbar Selector","Toolbar Selector"
"Pagination Selector","Pagination Selector"
"Limiter Selector","Limiter Selector"
"Items Amount Selector","Items Amount Selector"
