Title,Title
Image,Image
"WYSIWYG Editor","WYSIWYG Editor"
"Attention Seekers","Attention Seekers"
"Bouncing Entrances","Bouncing Entrances"
"Bouncing Exits","Bouncing Exits"
"Fading Entrances","Fading Entrances"
"Fading Exits","Fading Exits"
Flippers,Flippers
Lightspeed,Lightspeed
"Rotating Entrances","Rotating Entrances"
"Rotating Exits","Rotating Exits"
"Sliding Exits","Sliding Exits"
"Zoom Entrances","Zoom Entrances"
"Zoom Exits","Zoom Exits"
Specials,Specials
Disable,Disable
Fade,Fade
"Back Slide","Back Slide"
"Go Down","Go Down"
"Fade Up","Fade Up"
Previous,Previous
Next,Next
"Ves Image Slider","Ves Image Slider"
"Generate Simple Image Slider","Generate Simple Image Slider"
"Input the widget title. Empty for hide","Input the widget title. Empty for hide"
"Addition Class","Addition Class"
"Input widget wrapper prefix css class","Input widget wrapper prefix css class"
"OWL Carousel Settings","OWL Carousel Settings"
animateIn,animateIn
"Choose effect when start the slide","Choose effect when start the slide"
animateOut,animateOut
"Choose effect when end the slide","Choose effect when end the slide"
Preview,Preview
"Auto Height","Auto Height"
"Default: No","Default: No"
Autoplay,Autoplay
"Enable/Disable autoplay for the slider","Enable/Disable autoplay for the slider"
"Autoplay Timeout","Autoplay Timeout"
"Default: 3000","Default: 3000"
"Autoplay Speed","Autoplay Speed"
"Navigation Speed","Navigation Speed"
"Default: 800","Default: 800"
"Dots Speed","Dots Speed"
"Pause On Hover","Pause On Hover"
"Show dots navigations","Show dots navigations"
"Show next/prev buttons.","Show next/prev buttons."
"Enable Custom Nav","Enable Custom Nav"
"Next Icon Class","Next Icon Class"
"Previous Icon Class","Previous Icon Class"
"RTL Layout","RTL Layout"
Loop,Loop
"Infinity loop. Duplicate last and first items to get loop illusion.","Infinity loop. Duplicate last and first items to get loop illusion."
"Lazy Load","Lazy Load"
"Lazy load images. data-src and data-src-retina for highres. Also load images into background inline style if element is not img","Lazy load images. data-src and data-src-retina for highres. Also load images into background inline style if element is not img"
"Touch Drag","Touch Drag"
"Touch drag enabled. Default: Yes","Touch drag enabled. Default: Yes"
"Mouse Drag","Mouse Drag"
"Mouse drag enabled. Default: Yes","Mouse drag enabled. Default: Yes"
"Pull Drag","Pull Drag"
"Stage pull to edge. Default: Yes","Stage pull to edge. Default: Yes"
"Slide Manage","Slide Manage"
"Select CMS Static block 1","Select CMS Static block 1"
"Content 1","Content 1"
"Select CMS Static block 2","Select CMS Static block 2"
"Content 2","Content 2"
"Select CMS Static block 3","Select CMS Static block 3"
"Content 3","Content 3"
"Select CMS Static block 4","Select CMS Static block 4"
"Content 4","Content 4"
"Select CMS Static block 5","Select CMS Static block 5"
"Content 5","Content 5"
"Select CMS Static block 6","Select CMS Static block 6"
"Content 6","Content 6"
"Select CMS Static block 7","Select CMS Static block 7"
"Content 7","Content 7"
"Select CMS Static block 8","Select CMS Static block 8"
"Content 8","Content 8"
"Select CMS Static block 9","Select CMS Static block 9"
"Content 9","Content 9"
"Select CMS Static block 10","Select CMS Static block 10"
"Content 10","Content 10"
"Select CMS Static block 11","Select CMS Static block 11"
"Content 11","Content 11"
"Select CMS Static block 12","Select CMS Static block 12"
"Content 12","Content 12"
"Select CMS Static block 13","Select CMS Static block 13"
"Content 13","Content 13"
"Select CMS Static block 14","Select CMS Static block 14"
"Content 14","Content 14"
"Select CMS Static block 15","Select CMS Static block 15"
"Content 15","Content 15"
"Select CMS Static block 16","Select CMS Static block 16"
"Content 16","Content 16"
